ID,Año_prod,T/C,Temporada,Capitulo,Destino,Fec_Estreno,Dia,Mes,Año,Dia_Sem,Estreno_RR,Franja,H_ini,H_fin,Dur,Tandas,RH_C13,SH_C13,RC_C13,SC_C13,RH_TVN,SH_TVN,RC_TVN,SC_TVN,RH_MEGA,SH_MEGA,RC_MEGA,SC_MEGA,RH_CHV,SH_CHV,RC_CHV,SC_CHV,RH_TVPAGO,SH_TVPAGO,RC_TVPAGO,SC_TVPAGO,RH_ENC,SH_ENC,RC_ENC,SC_ENC,PosH_C13,PosC_C13,Comentario,Region,Zona,Fecha
20,2014.0,212,2,12.0,Punta Arenas,6-9-2014,6,9,2014,6,Estreno,Off Prime PM,14:28,15:41,1:13:00,2,7.5,18.1,2.7,17.4,5.3,12.9,1.9,12.4,4.9,11.9,1.4,9.0,4.0,9.6,1.4,9.3,19.5,47.2,6.8,44.3,41.3,100,15.2,100,1,1,,Magallanes,Sur,2014-09-06
23,2014.0,213,2,13.0,Chillán,27-9-2014,27,9,2014,6,Estreno,Off Prime PM,14:26,15:31,1:05:00,2,8.5,17.7,2.8,14.6,4.8,10.0,1.5,8.0,5.7,11.8,1.8,9.5,5.9,12.3,1.9,9.8,24.7,51.4,10.1,53.5,48.1,100,19.0,100,1,1,,Ñuble,Centro,2014-09-27
24,2014.0,21,2,1.0,Chiloé 1,13-12-2014,13,12,2014,6,RR 1,Off Prime PM,14:37,15:45,1:08:00,2,7.7,17.5,2.2,12.7,2.7,6.2,1.2,7.0,6.5,14.9,2.7,15.8,6.7,15.2,1.8,10.6,20.2,46.1,8.1,47.3,43.9,100,17.1,100,1,2,,Los Lagos,Sur,2014-12-13
25,2014.0,22,2,2.0,Chiloé 2,20-12-2014,20,12,2014,6,RR 1,Off Prime PM,14:30,15:30,1:00:00,2,7.2,15.5,2.6,14.9,3.9,8.4,1.2,6.8,6.1,13.0,2.3,12.8,8.3,17.8,2.2,12.2,23.7,50.7,8.6,48.4,46.6,100,17.7,100,2,1,,Los Lagos,Sur,2014-12-20
26,2014.0,23,2,3.0,Valdivia,27-12-2014,27,12,2014,6,RR 2,Off Prime PM,14:29,15:48,1:19:00,3,7.8,17.0,2.5,14.1,3.8,8.3,1.0,5.7,6.5,14.2,2.0,11.0,6.9,15.1,2.3,12.9,22.0,48.0,9.4,52.4,45.8,100,18.0,100,1,1,,Los Ríos,Sur,2014-12-27
28,2014.0,24,2,4.0,Barrio Yungay,10-1-2015,10,1,2015,6,RR 1,Off Prime PM,14:29,15:39,1:10:00,2,6.5,15.0,2.4,13.9,2.6,6.0,0.9,5.1,5.5,12.8,1.8,10.4,6.3,14.7,2.4,14.2,22.8,52.8,8.9,51.7,43.1,100,17.2,100,1,1,,Metropolitana,Centro,2015-01-10
29,2014.0,25,2,5.0,Curicó,17-1-2015,17,1,2015,6,RR 1,Off Prime PM,14:25,15:44,1:19:00,3,5.9,15.2,1.8,12.4,2.5,6.5,1.2,7.9,5.3,13.5,1.5,10.0,4.4,11.3,1.1,7.6,20.6,52.7,8.2,56.0,39.0,100,14.6,100,1,1,,Maule,Centro,2015-01-17
31,2014.0,26,2,6.0,Sagrada Familia,31-1-2015,31,1,2015,6,RR 1,Off Prime PM,14:31,15:46,1:15:00,2,5.5,13.6,1.7,11.8,2.9,7.2,0.7,4.9,5.1,12.5,1.4,9.8,5.2,12.8,1.6,11.2,19.9,49.0,7.9,54.2,40.6,100,14.6,100,1,1,,Maule,Centro,2015-01-31
32,2014.0,27,2,7.0,Concepción,7-2-2015,7,2,2015,6,RR 1,Off Prime PM,14:33,16:02,1:29:00,2,5.0,12.8,1.3,8.4,2.9,7.5,0.9,6.0,5.4,13.7,2.0,12.9,5.4,13.8,1.1,6.9,20.3,51.7,9.1,57.8,39.2,100,15.7,100,3,2,,Bío Bío,Sur,2015-02-07
33,2014.0,28,2,8.0,Coquimbo -La Serena,14-2-2015,14,2,2015,6,RR 1,Off Prime PM,14:26,15:52,1:26:00,4,6.2,15.4,2.2,14.2,2.1,5.2,0.4,2.4,4.4,10.8,1.1,7.2,5.4,13.4,1.9,12.0,22.6,55.7,9.8,62.3,40.5,100,15.7,100,1,1,,Coquimbo,Norte,2015-02-14
